brandId,brandName,inStock,isSponsored,itemId,itemSoldCntShow,location,name,originalPrice,price,ratingScore,review,sellerId,sellerName
39704,No Brand,True,False,568122712,1.2K sold,Sindh,Zipper Abaya only abaya Georgette Abaya for Girls women Modest Abaya Islamic Dress Elegant Abaya Fashion Traditional Abaya Women's Abaya Black Abaya Designer Abaya,,2300,4.585253456221198,217,6005173808023,zehracollection online store
39704,No Brand,True,False,598429197,168 sold,Sindh,abaya for girl chocolate abaya fabric georgett  irani degsain quality good,,2300,4.833333333333333,24,6005173808023,zehracollection online store
39704,No Brand,True,False,780547731,16 sold,Sindh,Bow Abaya| women Abaya| New Style Abaya| Maxi Style Abaya|,3800,2799,5.0,3,6005434848642,Laiba's Hijab
39704,No Brand,True,False,882957381,,Sindh,Abaya For Girls New Design 2025 Stylish - Bow Abaya - Front Bow Embroidered Georgette Abaya - ( Without Stoler ) - Burkha For Women And Girls - Easy to Wear - Comfortable Design,3999,2738,,,6005060823212,WhimsiMart
39704,No Brand,True,False,609344856,23 sold,Punjab,SIMPLE ABAYA FOR WOMAN premium stuff,2500,2400,5.0,1,6005015916035,M.A boutique
39704,No Brand,True,False,578377463,485 sold,Sindh,abaya for girl bakcle abaya  fabric georgette  muslim abayaStylish Long Maxi Belt Abaya for Girls New Design with Adjustable Belt Best for Girls and Women in Arabic Style,,2300,4.810526315789474,95,6005173808023,zehracollection online store
39704,No Brand,True,False,646579067,8 sold,Sindh,Pack Of One Fashionable Denim Abaya Muslim Wear For Girls And Ladies,,1499,5.0,1,6005310848031,Urban Moda
39704,No Brand,True,False,647455160,81 sold,Sindh,Butterfly abaya kaftan style for girls & women Abaya For Girls | Abaya | Abaya For Women | Abaya For Girls Stylish | Abayas | Abayas For Girls | Girls Abaya | Abaya For Girls New Design Stylish,2999,1999,5.0,17,6005349104018,Whispering Shadows
39704,No Brand,True,False,882048768,,Sindh,Bow abaya For Girls Premium Quality,,3500,,,6005469776060,WR Gifts Shop 
278747,CUSTOMIZE DESINGING STORE,True,False,602112321,,Khyber Pakhtunkhwa,Abaya for girls women,,1800,,,6005315120595,Every product collection 
39704,No Brand,True,False,724800211,15 sold,Sindh,Embroidered Maxi Bow Abaya - Abaya For Girls - Abaya For Girls Stylish - Hijab - Abaya For Women - Stuff Peach Jorjjet,5800,3290,,,6005313008874,Fashion Bluberi
39704,No Brand,True,False,562960518,68 sold,Sindh,Abaya Collection Marble Button Elegant Modest Wear,,2300,4.642857142857143,14,6005052789249,idealfashion66
39704,No Brand,True,False,667258255,41 sold,Sindh,Embroidered Maxi Bow Abaya - Abaya For Girls - Abaya For Girls Stylish - Hijab - Abaya For Women - Stuff Peach Jorjjet,3499,3250,4.857142857142857,7,6005013570494,AR Latest Finds
39704,No Brand,True,False,723995990,17 sold,Sindh,Trending Bow Abaya - Abaya For Girls - Bow Abaya For Girls - Abaya For Women - Abaya For Girls Stylish - Hijab - Burka For Girls - Embroidered Maxi Bow Abaya - Stuff Peach Jorjet,3499,3199,5.0,1,6005285552358,Latest Mall
39704,No Brand,True,False,698880943,8 sold,Punjab,Plain Abaya With Belt,,2350,,,6005295936553,Hadia B. Store
39704,No Brand,True,False,725508005,41 sold,Sindh,Bow Abaya - Abaya For Girls - All Prints Of Bow Abayas - Abaya For Girls New Design - Embroided Bow Abaya - Burka For Girls,3999,3165,5.0,6,6005013570494,AR Latest Finds
39704,No Brand,True,False,864413460,,Punjab,Georgette full plain abaya,,2600,,,6005438624880,Dream World
