id,price,region,sales,title,url
477231979,Rs. 738,Punjab,23.4K sold,Airpods Air Pro 3rd Gen TWS (True Wireless Stereo) Bluetooth Earbuds Dual Earphones Headset (Connect With All Bluetooth Devices).BLUETOOTH handfree,https://www.daraz.pk/products/3rd-tws-i477231979.html
280841902,Rs. 599,Punjab,17.7K sold,Air 31 airpods dual 5.2 Earbuds handfree bluetooth Wireless Earbuds Headphones  I7 Mini Bluetooth Headset Earbud Single Wireless Earphone With Mic Stereo For all phones,https://www.daraz.pk/products/31-52-i7-i280841902.html
269872768,Rs. 764,Punjab,55.2K sold,"M10 & M90 TWS  Airpods _ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds ,  Sport Headset for all Bluetooth Smart devices.",https://www.daraz.pk/products/m10-m90-tws-10-i269872768.html
532531549,Rs. 580,Punjab,301 sold,"TWS I12 & i7s Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Chargng Case Sport Headset for all Bluetooth Smart devices.",https://www.daraz.pk/products/tws-i12-i7s-airpods_-with-super-sound-high-quality-touch-sensors-true-stereo-headphones-with-built-in-mic-10m-transmission-bluetooth-wireless-earbuds-chargng-case-sport-headset-for-all-bluetooth-smart-devices-i532531549.html
509730378,Rs. 649,Punjab,2.6K sold,"Airpods Pro - Wireless Earbuds - Air Pods Pro - Bluetooth Earphone - Airport - Earbuds Bluetooth - Anc Airpods - Tws Earbuds - Ear buds - Super Bass Sound, Extra Ear-Buds, Pop-Up Feature Compatible with All Devices",https://www.daraz.pk/products/airpods-pro-wireless-earbuds-air-pods-pro-bluetooth-earphone-airport-earbuds-bluetooth-anc-airpods-tws-earbuds-ear-buds-super-bass-sound-extra-ear-buds-pop-up-feature-compatible-with-all-devices-i509730378.html
151800876,Rs. 824,Punjab,7.5K sold,Original M10 & M90  TWS Wireless Earphones Touch Control 5.3 with power bank charger Headset Waterproof 9D Hifi Quality Earbuds 3500mAh Stereo Sports Headphones With Microphone,https://www.daraz.pk/products/m10-m90-tws-53-9d-hifi-3500mah-i151800876.html
245403183,Rs. 272,Punjab,839 sold,Single & i7S Double Wireless Bluetooth Hand Free with Power Bank Stereo Earphones White bluetooth ear phone for all cell phones use,https://www.daraz.pk/products/i7s-i245403183.html
423383912,Rs. 729,Punjab,473 sold,"M41 Bluetooth 5.3 True Wireless Earbuds, Environmental Noise Cancelling, Waterproof, LED Power Display",https://www.daraz.pk/products/m41-bluetooth-53-true-wireless-earbuds-environmental-noise-cancelling-waterproof-led-power-display-i423383912.html
667222579,Rs. 615,Punjab,291 sold,AST® Original A6S TWS Headset Wireless Earphones Bluetooth Headphones Sport Stereo Fone Bluetooth Earbuds for Xiaomi Huawei iPhone,https://www.daraz.pk/products/ast-a6s-tws-i667222579.html
388778494,Rs. 673,Punjab,1.7K sold,"TWS I12 Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices.",https://www.daraz.pk/products/tws-i12-10-i388778494.html
489922512,Rs. 450,Punjab,204 sold,"AirPods Pro 2nd Gen & AirPods 3rd Gen Wireless Earbuds - Bluetooth 5.0, Super Sound Bass, Pop-Up Feature",https://www.daraz.pk/products/airpods-pro-2nd-gen-airpods-3rd-gen-wireless-earbuds-bluetooth-50-super-sound-bass-pop-up-feature-i489922512.html
219850103,Rs. 599,Punjab,992 sold,Airpods Air Pro 2rd Gen TWS & i12 & i14 & i15 & i16 max & i18 &Air31  (True Wireless Stereo) Bluetooth Earbuds Dual Earphones Headset (Connect With All Bluetooth Devices).,https://www.daraz.pk/products/i7s-i219850103.html
729528690,Rs. 699,Punjab,1.3K sold,"AirPods_Pro (2nd Generation) Titanium Wireless Earbuds, Bluetooth 5.0, High Quality Sound bass",https://www.daraz.pk/products/airpods_pro-2nd-generation-titanium-wireless-earbuds-bluetooth-50-high-quality-sound-bass-i729528690.html
509782711,Rs. 629,Punjab,625 sold,"AirPods_Pro (2nd Generation) Titanium Wireless Earbuds, Bluetooth 5.0, High Quality Sound bass",https://www.daraz.pk/products/airpods_pro-2nd-generation-titanium-wireless-earbuds-bluetooth-50-high-quality-sound-bass-i509782711.html
410246093,Rs. 599,Punjab,7.2K sold,M10 TWS Wireless Earbuds Bluetooth 5.1 Touch Control Waterproof LED Display Charging Box 9D HiFi Sound for Gaming and Gym,https://www.daraz.pk/products/m10-tws-wireless-earbuds-bluetooth-51-touch-control-waterproof-led-display-charging-box-9d-hifi-sound-for-gaming-and-gym-i410246093.html
136700249,Rs. 699,Punjab,894 sold,i7S Double Wireless Bluetooth Hand Free with Power Bank Pod Stereo Earphones White bluetooth ear phone for all cell phones use,https://www.daraz.pk/products/i7s-i136700249.html
175358274,Rs. 699,Punjab,5.1K sold,AIR31 EARBUDS TRUE WIRELESS BLUETOOTH HEADSET BINAURAL SMALL IN EARBUDS STEREO BASS TWS EARBUDS NEWEST SPORTS EARBUDS FOR PHONES-EARBUDS AIR 31 AIRPODS WIRELESS EARBUDS WITH CRYSTAL TRANSPARENT CASE WITH TYPE C CHARGING|EARBUDS BLUETOOTH 5.3 -NEW MODEL,https://www.daraz.pk/products/31-tws-1-31-c-1-i175358274.html
751141030,Rs. 760,Punjab,65 sold,i 12 TWS Airpdos  original 5.0 Version  With SENSOR TOUCH Earpods High Quality Mini Universal Dual Pair Bluetooth Earbuds Sport Stereo With Charging box,https://www.daraz.pk/products/tws-i-12-50-i751141030.html
666454559,Rs. 759,Punjab,1.1K sold,"AirPods Pro 2nd Generation - Wireless Earbuds, Air Pro, Air Buds, Earpods with ANC, Transparency Mode, Spatial Audio, and MagSafe Charging Case",https://www.daraz.pk/products/2nd-anc-i666454559.html
205938190,Rs. 599,Punjab,210 sold,Wireless Headset Bluetooth Earpieces I7S Tws Ear bud Twins Earphone With Charging box Earphones Earbud,https://www.daraz.pk/products/wireless-headset-bluetooth-earpieces-i7s-tws-ear-bud-twins-earphone-with-charging-box-earphones-earbud-i205938190.html
