brandId,brandName,inStock,isSponsored,itemId,itemSoldCntShow,location,name,originalPrice,price,ratingScore,review,sellerId,sellerName
39704,No Brand,True,False,776529423,15 sold,Punjab,Airpods_pro High bass Tws wireless earbuds Bluetooth earphone Water proof buds,1999,699,5.0,10,6005423600340,KIN
39704,No Brand,True,False,430828812,,Punjab,Original M10 & i12 TWS Wireless Earphones Touch Control 5.1 with power bank charger Headset Waterproof 9D Hifi Quality Earbuds 2000mAh Stereo Sports Headphones With Microphonei,2999,799,,0,6005016303074,Dr_Trader
39704,No Brand,True,False,544283252,197 sold,Punjab,"Airpro & Air 31 TWS I12 Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , power Case Sport Headset for all Bluetooth Smart devices.",2222,537.54,4.243243243243243,37,6005210080779,GM  Trders
127260029,OKS®,True,False,245403183,834 sold,Punjab,Single & i7S Double Wireless Bluetooth Hand Free with Power Bank Stereo Earphones White bluetooth ear phone for all cell phones use,,299,4.02808988764045,178,1022277,eShopping® 
39704,No Brand,True,False,487338188,494 sold,Punjab,Latest Wireless Bluetooth AirPods_i12 Earbuds,1299,349,4.123076923076923,65,6005085136574,ACZ
39704,No Brand,True,False,282085380,25 sold,Punjab,New M10 TWS Wireless Earphones Touch Control 5.1 Headset Waterproof 9D Hifi Quality Earbuds 2000mAh Stereo Sports Headphones With Microphone,4000,949,5.0,7,6005019420648,Rana Collection 1
127338842,A.S  ENTERPRISES,True,False,612028150,31 sold,Sindh,AS ENTERPRISES’ A9 Airpods Pro With Touch Screen Airpods Display - High Quality Earbuds With Super Bass & Noise Cancelation - ANC Wireless Air Pods With Bluetooth 5.0 - Convenient & Elegant Air Buds With LCD Display & Pop-Up Feature.,2499,1499,5.0,21,6005298144722,A.S ENTERPRISES (STORE)
39704,No Brand,True,False,751147170,95 sold,Punjab,"TWS Air 31 Airpods  Black Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices",,220,5.0,20,6005423552421,TIWANA TEC
39704,No Brand,True,False,588015015,15 sold,Sindh,"Top-Quality Wireless Earbuds Air 31 Pro - Bluetooth 5.3, Crystal Transparent Case, AirPods Wireless Earbuds with Type-C Charging, Ultimate Sound Experience with Pro-Level Bluetooth Earbuds, Perfect for Seamless Connectivity and Comfort""",1100,845,5.0,15,6005053038877,The partner enterprises
127387258,OKIE,True,False,829034771,57 sold,Punjab,Topewon F9 Wireless Earphone IPX7 Waterproof Earbuds LED Display Built In HD Mic Headphone with 2000mAh Power,1799,890,5.0,12,6005252464415,OKIE
39704,No Brand,True,False,480389611,,Punjab,AIR 31 EARBUDS AIRPODS WIRELESS EARBUDS,2500,975,5.0,1,6005016231157,Accessory HUB(Lahore)
127201809,TECH CORNER,True,False,496801359,23 sold,Punjab,M19 TWS Earphone Touch Control Wireless LED Display Touch Bluetooth 5.1 Headphones Cancelling Stereo Earbuds M19 Airpods TWS Wireless Earbuds Earphone Bluetooth Touch Control Wireless LED Display Bluetooth 5.1 Headphones Cancelling Stereo Earbuds Pods,1999,801.29,4.7,10,6005150592232,TECH CORNER (SMC-PRIVATE) LIMITED
39704,No Brand,True,False,427325211,628 sold,Punjab,"M90 Pro TWS Bluetooth 5.2 Earbuds with Touch Control, LED Display, 9D HiFi Sound, IPX5 Waterproof, 4-5 Hours Play/Call Time, 1200mAh Charging Case",2222,679.15,4.068702290076335,131,6005051085833,Pak -China Traders
39704,No Brand,True,False,412737963,32 sold,Sindh,M90 Pro TWS Wireless Earbuds Bluetooth 5.2 Headphones Touch Control Earphones LED Display Headset 9D HiFi Quality Earbuds,4000,1049,4.125,8,6005048700245,KDN Association 
39704,No Brand,True,False,798526166,142 sold,Punjab,Original M10 TWS Bluetooth Earbuds – 3500mAh Power Bank Case | Noise Cancelling | Touch Control | Waterproof | For All Smartphones,3000,799,4.586206896551724,29,6005234448013,ZoOk tech
127239693,AST®,True,False,667222579,292 sold,Punjab,AST® Original A6S TWS Headset Wireless Earphones Bluetooth Headphones Sport Stereo Fone Bluetooth Earbuds for Xiaomi Huawei iPhone,1999,615,4.473684210526316,19,6005016129265,ak®
39704,No Brand,True,False,751140073,78 sold,Punjab,M10 TWS Airpods Earphones Wireless Earphone Touch Bluetooth Earplugs In The Ear Stereo Sport Headsets CVC8.0 Noise Reduction Earbuds,,179,4.909090909090909,22,6005423536399,HSB
39704,No Brand,True,False,482553543,95 sold,Punjab,"M10 TWS Wireless Earbuds - Bluetooth 5.0, Waterproof, 9D Hi-Fi Sound",2999,537.54,4.904761904761905,21,6005051085833,Pak -China Traders
39704,No Brand,True,False,477714479,10 sold,Punjab,Air Pro TWS (True Wireless Stereo) Bluetooth Earphones Headset Connect With All Bluetooth Devices,3000,899,5.0,2,6005019558097,Rana Collection 2
39704,No Brand,True,False,355534290,3.3K sold,Overseas,HLstar® K58 Wireless Headphones Bluetooth Neckband Magnetic Earphones Sport Running Hifi Stereo Handsfree Earbuds Waterproof Bluetooth 5.0 Headset With Mic,1500,399,4.154535274356103,893,6005029158865,HLstar Global Store
127260029,OKS®,True,False,489914623,134 sold,Punjab,"AirPods_Pro 2nd Airpods 3rd Gen Airpods 2nd TWS Airpods Wireless Earbuds Bluetooth 5.0, Super Sound Bass, Single Airpods, Charging Case and Extra Ear-Buds, Pop-Up Feature Compatible with All Devices",1000,499,4.722222222222222,36,6005011788540,4-Brothers
39704,No Brand,True,False,460091746,126 sold,Punjab,TWS F2 Earbuds High Base Airpods Pro Sound Newmine  Wireless Earbuds Pro Bluetooth Airbuds TWS True Wireless Mini Earbuds,2000,599,4.476190476190476,21,6005049207299,Shopify_Store
39704,No Brand,True,False,471840756,,Khyber Pakhtunkhwa,M10 TWS Wireless Headphones Touch Control Bluetooth - Compatible 5.1 Earphones Wireless Headset Waterproof 9D Hifi Quality Earbuds,2500,1200,,,6005012364161,BannuElectronics
